OBJECTID,Name,Link
178,Haida Gwaii,https://native-land.ca/maps/territories/x%cc%b1aayda/
179,Kwanlin Dün,https://native-land.ca/maps/territories/kwanlin-dun/
180,Goshute,https://native-land.ca/maps/territories/goshute/
181,Qayqayt,https://native-land.ca/maps/territories/qayqayt/
182,Cheyenne,https://native-land.ca/maps/territories/cheyenne/
183,Gwich'in Nành,https://native-land.ca/maps/territories/gwichin/
184,Kluane,https://native-land.ca/maps/territories/kluane/
185,Taku River Tlingit,https://native-land.ca/maps/territories/taku-river-tlingit/
186,Kuuvuan KaNianiq,https://native-land.ca/maps/territories/kuuvuan-kanianiq/
187,Dena'ina Ełnena,https://native-land.ca/maps/territories/denaina/
188,Siuslaw,https://native-land.ca/maps/territories/siuslaw/
189,Dakeł Keyoh (ᑕᗸᒡ ᗲᘏᑋ),https://native-land.ca/maps/territories/dakel-%e1%91%95%e1%97%b8%e1%92%a1/
190,Yamhill,https://native-land.ca/maps/territories/yamhill/
191,Kaska Dena Kayeh,https://native-land.ca/maps/territories/kaska-dena/
192,Vuntut Gwitchin,https://native-land.ca/maps/territories/vuntut-gwitchin/
193,Newe (Western Shoshone),https://native-land.ca/maps/territories/newe-western-shoshone/
194,Deg Xit'an Ngan' (Deg Xit'an),https://native-land.ca/maps/territories/deg-hitan/
195,Winefelly,https://native-land.ca/maps/territories/winefelly/
196,Tsilhqot'in Nen,https://native-land.ca/maps/territories/tsilqotin/
197,Tagish,https://native-land.ca/maps/territories/tagish/
198,Te’mexw Treaty Association,https://native-land.ca/maps/territories/temexw-treaty-association/
199,Skykomish,https://native-land.ca/maps/territories/skykomish/
200,Kwantlen,https://native-land.ca/maps/territories/kwantlen/
201,Stz'uminus,https://native-land.ca/maps/territories/stzuminus/
202,Kalapuya,https://native-land.ca/maps/territories/kalapuya/
203,Lheidli T'enneh,https://native-land.ca/maps/territories/lheidli-tenneh/
204,Lekwungen/Songhees,https://native-land.ca/maps/territories/lekwungen-songhees/
205,Wanapum,https://native-land.ca/maps/territories/wanapum/
206,Älsé (Alsea),https://native-land.ca/maps/territories/alsea/
207,Aseniwuche Winewak (Rocky Mountain),https://native-land.ca/maps/territories/aseniwuche-winewak-rocky-mountain/
208,Champagne & Aishihik,https://native-land.ca/maps/territories/champagne-aishihik/
209,Nuxwsa'7aq (Nooksack),https://native-land.ca/maps/territories/nuxwsa7aq-nooksack/
210,Moses/Columbia,https://native-land.ca/maps/territories/moses-columbia/
211,xʷməθkʷəy̓əm,https://native-land.ca/maps/territories/x%ca%b7m%c9%99%ce%b8k%ca%b7%c9%99y%cc%93%c9%99m/
212,np̓əšqʷáw̓səxʷ (Wenatchi),https://native-land.ca/maps/territories/columbia-wenatchi/
213,Heiltsuk,https://native-land.ca/maps/territories/heiltsuk/
214,səl̓ilwətaɁɬ təməxʷ (Tsleil-Waututh),https://native-land.ca/maps/territories/tsleil-waututh-s%c9%99l%cc%93ilw%c9%99ta%c9%82%c9%ac/
215,Carcross/Tagish First Nation (BC),https://native-land.ca/maps/territories/carcross-tagish-first-nation-bc/
216,Hul’qumi’num Treaty Group,https://native-land.ca/maps/territories/hulquminum-treaty-group/
217,Teslin Tlingit Council (Yukon),https://native-land.ca/maps/territories/teslin-tlingit/
218,Mohawk (Kalapuya),https://native-land.ca/maps/territories/mohawk-4/
219,Gitga’at Lax Yuup,https://native-land.ca/maps/territories/gitgaat/
220,Gitga’at,https://native-land.ca/maps/territories/gitgaat/
221,Ahtna Nenn’,https://native-land.ca/maps/territories/ahtna/
222,Ditidaht,https://native-land.ca/maps/territories/ditidaht/
